BearCode,Date,tbl_Bears_Sex,Born,AQual,VisitAge,NumCubs,ABearCodeListX
X03269,1992-09-07,F,1968,DERIVE,24,0,
X03269,1996-09-10,F,1968,DERIVE,28,0,
X03269,1997-11-15,F,1968,DERIVE,29,0,
X03282,1976-10-15,F,1974,TOOTH,2,0,
X03282,1984-10-17,F,1974,DERIVE,10,2,"X09767 (YRLG   F), X09768 (YRLG   F)"
X03282,1984-08-13,F,1974,TOOTH,10,2,"X09767 (YRLG   F), X09768 (YRLG   F)"
X03282,1984-08-22,F,1974,DERIVE,10,2,"X09767 (YRLG   F), X09768 (YRLG   F)"
X03282,1987-09-18,F,1974,DERIVE,13,2,"X10554 (COY   F), X10555 (COY   F)"
X03282,1988-10-18,F,1974,DERIVE,14,2,"X10554 (YRLG   F), X10555 (YRLG   F)"
X03282,1988-11-28,F,1974,TOOTH,14,0,
X03282,1988-09-26,F,1974,DERIVE,14,2,"X10554 (YRLG   F), X10555 (YRLG   F)"
X03288,1976-10-26,F,1972,TOOTH,4,0,
X03288,1978-11-03,F,1972,DERIVE,6,1,X05531 (COY   U)
X03288,1989-08-12,F,1972,DERIVE,17,2,"X11164 (COY   F), X11165 (COY   F)"
X03288,1989-09-02,F,1972,DERIVE,17,2,"X11164 (COY   F), X11165 (COY   F)"
X03288,1990-09-12,F,1972,DERIVE,18,0,
X03288,1991-03-08,F,1972,DERIVE,19,2,"X11528 (COY   F), X11529 (COY   F)"
X03288,1991-09-12,F,1972,DERIVE,19,0,
X03288,1992-09-10,F,1972,DERIVE,20,0,
X03288,1993-03-18,F,1972,DERIVE,21,3,"X11949 (COY   M), X11950 (COY   F), X11951 (COY   M)"
X03288,1996-03-09,F,1972,DERIVE,24,0,
X03288,1997-09-11,F,1972,DERIVE,25,1,X12673 (COY   F)
X03292,1976-10-28,F,1976,KNOWN,0,0,"X02244 (ADULT   F), X03293 (COY   M)"
X03292,1984-10-15,F,1976,KNOWN,8,1,X09718 (COY   F)
X03292,1984-08-22,F,1976,KNOWN,8,2,"X09718 (COY   F), X09719 (COY   M)"
X03292,1984-09-26,F,1976,KNOWN,8,1,X09718 (COY   F)
X03292,1985-03-11,F,1976,KNOWN,9,0,
X03292,1990-03-04,F,1976,KNOWN,14,2,"X11134 (COY   F), X11135 (COY   M)"
X03292,1990-09-12,F,1976,KNOWN,14,1,X11134 (COY   F)
X03292,1991-09-01,F,1976,KNOWN,15,1,X11134 (YRLG   F)
X03292,1993-08-27,F,1976,KNOWN,17,2,"X11992 (COY   F), X11993 (COY   M)"
X03292,1995-09-03,F,1976,KNOWN,19,0,
X03292,1996-08-31,F,1976,KNOWN,20,1,X12627 (COY   F)
X03292,1997-09-02,F,1976,KNOWN,21,1,X12627 (YRLG   F)
X03292,1999-08-24,F,1976,KNOWN,23,1,X19198 (COY   F)
X03292,2001-09-15,F,1976,KNOWN,25,0,
X03292,2002-08-15,F,1976,KNOWN,26,1,X17212 (COY   M)
X03292,2003-11-18,F,1976,KNOWN,27,0,
X03295,1976-10-29,M,1974,TOOTH,2,0,
X03295,1989-09-24,M,1974,TOOTH,15,0,
X03295,1993-10-19,M,1974,DERIVE,19,0,
X03295,1993-07-23,M,1974,DERIVE,19,0,
X03295,1994-10-26,M,1974,DERIVE,20,0,
X03295,1996-11-01,M,1974,DERIVE,22,0,
X03299,1976-11-03,F,1975,TOOTH,1,0,
X03299,1990-03-03,F,1975,TOOTH,15,1,X11131 (COY   M)
X03304,1987-10-24,M,1986,TOOTH,1,0,X09332 (ADULT   F)
X03304,1987-10-28,M,1986,DERIVE,1,0,X09332 (ADULT   F)
X03304,1990-11-07,M,1986,DERIVE,4,0,
X03304,1990-08-11,M,1986,DERIVE,4,0,
X03304,1999-11-12,M,1986,DERIVE,13,0,
X03305,1987-10-26,F,1986,TOOTH,1,0,
X03305,1987-10-29,F,1986,DERIVE,1,0,
X03305,1992-09-07,F,1986,TOOTH,6,1,X11681 (COY   F)
X03305,1994-09-13,F,1986,DERIVE,8,2,"X12277 (COY   M), X12278 (COY   M)"
X03308,1987-10-26,F,1986,TOOTH,1,0,
X03308,1987-10-28,F,1986,DERIVE,1,0,
X03308,1989-09-18,F,1986,TOOTH,3,0,
X03318,1988-10-30,F,1974,TOOTH,14,1,X03319 (COY   F)
X03318,1991-08-31,F,1974,TOOTH,17,1,X11541 (YRLG   M)
X03318,1993-03-18,F,1974,DERIVE,19,2,"X11947 (COY   M), X11948 (COY   F)"
X03318,1993-08-28,F,1974,DERIVE,19,2,"X11947 (COY   M), X11948 (COY   F)"
X03318,1994-09-17,F,1974,DERIVE,20,1,X11948 (YRLG   F)
X03318,1998-11-30,F,1974,DERIVE,24,1,X17069 (COY   M)
X03325,1988-11-09,M,1985,TOOTH,3,0,
X03325,1989-09-26,M,1985,TOOTH,4,0,
X03325,1990-11-08,M,1985,DERIVE,5,0,
X03325,1992-11-17,M,1985,TOOTH,7,0,
X03325,1992-08-26,M,1985,DERIVE,7,0,
X03327,1988-11-11,M,1988,KNOWN,0,0,"X03328 (COY   F), X09342 (ADULT   F)"
X03327,1989-09-12,M,1988,KNOWN,1,0,"X03328 (YRLG   F), X09342 (ADULT   F)"
X03327,1990-11-07,M,1988,KNOWN,2,0,
X03327,1995-10-07,M,1988,KNOWN,7,0,
X03327,1996-09-12,M,1988,KNOWN,8,0,
X03327,1997-11-22,M,1988,KNOWN,9,0,
X03327,1997-11-08,M,1988,KNOWN,9,0,
X03327,1997-09-10,M,1988,KNOWN,9,0,
X03328,1988-11-11,F,1988,KNOWN,0,0,"X03327 (COY   M), X09342 (ADULT   F)"
X03328,1989-09-12,F,1988,KNOWN,1,0,"X03327 (YRLG   M), X09342 (ADULT   F)"
X03328,1990-09-06,F,1988,KNOWN,2,0,
X03328,1993-03-21,F,1988,KNOWN,5,2,"X11967 (COY   M), X11968 (COY   F)"
X03328,2001-11-19,F,1988,KNOWN,13,1,X17197 (COY   F)
X03331,1989-10-17,M,1986,TOOTH,3,0,
X03331,1990-11-04,M,1986,DERIVE,4,0,
X03331,1990-09-07,M,1986,TOOTH,4,0,
X03331,1992-08-27,M,1986,DERIVE,6,0,
X03331,1996-09-17,M,1986,DERIVE,10,0,
X03331,1998-09-14,M,1986,DERIVE,12,0,
X03331,1999-10-07,M,1986,DERIVE,13,0,
X03331,1999-09-04,M,1986,DERIVE,13,0,
X03331,2001-08-26,M,1986,DERIVE,15,0,
X03331,2002-09-14,M,1986,DERIVE,16,0,
X03335,1989-11-05,M,1987,DERIVE,2,0,
X03335,1989-11-07,M,1987,TOOTH,2,0,
X03335,1995-09-13,M,1987,TOOTH,8,0,
X03335,1997-09-15,M,1987,DERIVE,10,0,
X03335,2002-08-18,M,1987,DERIVE,15,0,
X03335,2003-11-15,M,1987,DERIVE,16,0,
X03335,2003-11-22,M,1987,DERIVE,16,0,
X03342,1989-11-19,M,1987,TOOTH,2,0,
X03342,1989-11-09,M,1987,DERIVE,2,0,
X03342,1990-09-06,M,1987,TOOTH,3,0,
X03344,1989-11-10,M,1988,TOOTH,1,0,
X03344,1990-09-22,M,1988,TOOTH,2,0,
X03353,1990-11-02,M,1987,TOOTH,3,0,
X03353,1991-10-12,M,1987,TOOTH,4,0,
X03353,1998-09-16,M,1987,DERIVE,11,0,
X03353,2000-09-06,M,1987,DERIVE,13,0,
X03353,2002-08-28,M,1987,DERIVE,15,0,
X03353,2003-09-26,M,1987,DERIVE,16,0,
X03353,2005-09-10,M,1987,DERIVE,18,0,
X03354,1990-11-01,M,1985,TOOTH,5,0,
X03354,1991-09-19,M,1985,TOOTH,6,0,
X03354,1995-10-17,M,1985,DERIVE,10,0,
X03354,1995-07-28,M,1985,DERIVE,10,0,
X03354,1995-08-31,M,1985,DERIVE,10,0,
X03354,1998-11-25,M,1985,DERIVE,13,0,
X03355,1990-10-08,M,1987,TOOTH,3,0,
X03355,1991-10-13,M,1987,DERIVE,4,0,
X03355,1993-08-29,M,1987,TOOTH,6,0,
X03355,1994-11-20,M,1987,DERIVE,7,0,
X03355,1996-09-11,M,1987,DERIVE,9,0,
X03355,2004-09-12,M,1987,DERIVE,17,0,
X03358,1990-11-08,M,1980,TOOTH,10,0,
X03358,1996-09-15,M,1980,TOOTH,16,0,
X03358,1998-12-09,M,1980,DERIVE,18,0,
X03366,1990-11-09,M,1976,TOOTH,14,0,
X03366,1995-10-12,M,1976,DERIVE,19,0,
X03367,1991-10-24,M,1989,TOOTH,2,0,
X03367,1992-10-31,M,1989,DERIVE,3,0,
X03367,1993-10-31,M,1989,DERIVE,4,0,
X03367,1995-10-14,M,1989,DERIVE,6,0,
X03367,1996-09-17,M,1989,TOOTH,7,0,
X03367,1997-09-22,M,1989,DERIVE,8,0,
X03367,1999-11-11,M,1989,DERIVE,10,0,
X03368,1991-10-26,F,1990,TOOTH,1,0,
X03368,1992-11-12,F,1990,DERIVE,2,0,
X03368,1994-10-28,F,1990,DERIVE,4,0,
X03368,1996-07-19,F,1990,DERIVE,6,2,"X11822 (COY   F), X11823 (COY   M)"
X03369,1991-11-22,M,1990,TOOTH,1,0,
X03369,1992-09-18,M,1990,DERIVE,2,0,
X03369,1993-10-02,M,1990,DERIVE,3,0,
X03369,1993-09-11,M,1990,TOOTH,3,0,
X03369,1994-10-13,M,1990,DERIVE,4,0,
X03369,1994-11-09,M,1990,DERIVE,4,0,
X03369,1994-09-17,M,1990,DERIVE,4,0,
X03369,1994-09-29,M,1990,DERIVE,4,0,
X03370,1991-11-22,M,1979,DERIVE,12,0,
X03370,1998-09-19,M,1979,TOOTH,19,0,
X03370,1999-11-12,M,1979,DERIVE,20,0,
X03370,1999-08-28,M,1979,DERIVE,20,0,
X03375,1992-09-19,M,1991,TOOTH,1,0,
X03375,1993-10-19,M,1991,DERIVE,2,0,
X03375,1993-07-31,M,1991,DERIVE,2,0,
X03375,1993-08-17,M,1991,DERIVE,2,0,
X03375,1993-08-25,M,1991,DERIVE,2,0,
X03375,1994-10-13,M,1991,DERIVE,3,0,
X03375,1994-11-09,M,1991,DERIVE,3,0,
X03375,1994-08-28,M,1991,DERIVE,3,0,
X03376,1992-11-01,M,1990,TOOTH,2,0,
X03376,1993-08-31,M,1990,TOOTH,3,0,
X03383,1992-11-09,F,1978,TOOTH,14,1,X03384 (YRLG   M)
X03383,1996-11-07,F,1978,DERIVE,18,2,"X03496 (YRLG   M), X03497 (YRLG   F)"
X03383,1998-09-09,F,1978,DERIVE,20,2,"X12780 (COY   M), X12781 (COY   M)"
X03383,2001-11-08,F,1978,DERIVE,23,1,X17158 (COY   F)
X03384,1992-11-09,M,1991,DERIVE,1,0,X03383 (ADULT   F)
X03384,1993-10-15,M,1991,DERIVE,2,0,
X03384,1993-08-10,M,1991,DERIVE,2,0,
X03384,1994-09-16,M,1991,TOOTH,3,0,
X03384,1997-11-11,M,1991,DERIVE,6,0,
X03384,1998-11-24,M,1991,DERIVE,7,0,
X03384,1998-12-04,M,1991,DERIVE,7,0,
X03384,1998-09-08,M,1991,TOOTH,7,0,
X03387,1992-11-23,M,1989,TOOTH,3,0,
X03387,1993-10-16,M,1989,DERIVE,4,0,
X03387,1993-10-19,M,1989,DERIVE,4,0,
X03387,1993-07-29,M,1989,DERIVE,4,0,
X03387,1994-11-20,M,1989,DERIVE,5,0,
X03387,1995-09-02,M,1989,TOOTH,6,0,
X03387,1996-10-04,M,1989,DERIVE,7,0,
X03387,1997-09-12,M,1989,DERIVE,8,0,
X03387,1998-09-16,M,1989,DERIVE,9,0,
X03387,2000-09-19,M,1989,DERIVE,11,0,
X03387,2000-09-03,M,1989,DERIVE,11,0,
X03387,2002-09-14,M,1989,DERIVE,13,0,
X03387,2004-09-28,M,1989,DERIVE,15,0,
X03387,2006-09-01,M,1989,DERIVE,17,0,
X03387,2010-09-16,M,1989,DERIVE,21,0,
X03387,2012-11-06,M,1989,DERIVE,23,0,
X03391,1992-11-10,F,1990,TOOTH,2,0,
X03391,1996-03-10,F,1990,TOOTH,6,2,"X12463 (COY   F), X12464 (COY   M)"
X03391,1997-09-10,F,1990,DERIVE,7,0,
X03391,1998-09-05,F,1990,DERIVE,8,0,
X03391,2003-11-14,F,1990,DERIVE,13,1,X17329 (COY   F)
X03393,1992-11-28,M,1991,TOOTH,1,0,
X03393,1996-09-17,M,1991,TOOTH,5,0,
X03393,1998-11-29,M,1991,DERIVE,7,0,
X03393,1998-09-21,M,1991,DERIVE,7,0,
X03393,1999-10-10,M,1991,DERIVE,8,0,
X03393,1999-09-03,M,1991,DERIVE,8,0,
X03393,2002-10-30,M,1991,DERIVE,11,0,
X03393,2002-09-14,M,1991,DERIVE,11,0,
X03393,2003-09-11,M,1991,DERIVE,12,0,
X03393,2004-09-15,M,1991,DERIVE,13,0,
X03393,2005-08-29,M,1991,DERIVE,14,0,
X03393,2006-09-02,M,1991,DERIVE,15,0,
X03393,2007-09-15,M,1991,DERIVE,16,0,
X03393,2010-09-04,M,1991,DERIVE,19,0,
X03394,1993-10-18,M,1990,TOOTH,3,0,
X03394,1994-11-07,M,1990,DERIVE,4,0,
X03394,1997-09-10,M,1990,TOOTH,7,0,
X03395,1993-10-19,F,1991,DERIVE,2,0,
X03395,1993-09-30,F,1991,TOOTH,2,0,
X03395,1994-11-02,F,1991,TOOTH,3,0,
X03397,1993-10-21,F,1991,TOOTH,2,0,
